prompt,weighted_results_image2_preference,weighted_results_image2_coherence,weighted_results_image2_alignment
imagine you are lost with glowing red eyes with magic,1,0.286,0.085
imagine you are lost surrounded by golden mist during a storm,1,0.203,0.607
imagine you are lost wearing silver armor without fear,1,0.762,0.881
imagine you are lost crying in the rain with magic,1,0.387,0.883
you are a brave knight in a haunted forest at sunrise,0,0.511,0.659
tell a story about wearing silver armor at sunrise,0,0.492,0.211
in a world where under purple skies as the hero,0,0.577,0.863
imagine you are lost in a haunted forest at sunrise,0,0.866,0.886
you are a brave knight crying in the rain as the hero,1,0.981,0.197
suppose you meet under purple skies with magic,0,0.408,0.737
imagine you are lost in a haunted forest with magic,0,0.828,0.287
tell a story about surrounded by golden mist in a game,0,0.765,0.803
you are a brave knight under purple skies with magic,1,0.574,0.997
in a world where with glowing red eyes with magic,0,0.956,0.03
imagine you are lost with glowing red eyes with magic,1,0.2,0.897
imagine you are lost under purple skies without fear,1,0.109,0.623
imagine you are lost in a haunted forest at sunrise,0,0.854,0.973
imagine you are lost crying in the rain as the hero,1,0.439,0.465
pretend to be wearing silver armor at sunrise,1,0.847,0.847
tell a story about in a haunted forest without fear,0,0.893,0.062
suppose you meet wearing silver armor without fear,0,0.062,0.335
you are a brave knight wearing silver armor without fear,1,0.883,0.067
pretend to be under purple skies during a storm,1,0.448,0.975
suppose you meet with glowing red eyes at sunrise,0,0.51,0.817
in a world where with glowing red eyes in a game,0,0.627,0.853
pretend to be with glowing red eyes without fear,1,0.926,0.938
you are a brave knight in a haunted forest with magic,0,0.019,0.085
in a world where crying in the rain at sunrise,0,0.477,0.386
suppose you meet surrounded by golden mist without fear,0,0.688,0.071
pretend to be with glowing red eyes during a storm,1,0.723,0.211
pretend to be crying in the rain during a storm,1,0.693,0.229
you are a brave knight with glowing red eyes in a game,1,0.134,0.469
suppose you meet in a haunted forest at sunrise,0,0.299,0.269
pretend to be wearing silver armor with magic,1,0.359,0.101
tell a story about under purple skies without fear,0,0.804,0.167
in a world where in a haunted forest without fear,0,0.279,0.147
pretend to be surrounded by golden mist during a storm,1,0.211,0.973
suppose you meet under purple skies as the hero,0,0.957,0.759
suppose you meet wearing silver armor without fear,0,0.009,0.968
pretend to be in a haunted forest with magic,0,0.998,0.44
in a world where surrounded by golden mist as the hero,0,0.677,0.278
imagine you are lost with glowing red eyes at sunrise,1,0.828,0.798
you are a brave knight with glowing red eyes at sunrise,1,0.295,0.326
tell a story about crying in the rain with magic,0,0.014,0.299
pretend to be crying in the rain during a storm,1,0.738,0.233
you are a brave knight in a haunted forest in a game,0,0.834,0.13
imagine you are lost with glowing red eyes with magic,1,0.74,0.256
tell a story about surrounded by golden mist as the hero,0,0.143,0.355
imagine you are lost surrounded by golden mist without fear,1,0.753,0.674
you are a brave knight in a haunted forest as the hero,0,0.769,0.063
in a world where wearing silver armor with magic,0,0.659,0.211
you are a brave knight with glowing red eyes in a game,1,0.766,0.809
in a world where wearing silver armor at sunrise,0,0.846,0.147
tell a story about with glowing red eyes as the hero,0,0.614,0.343
tell a story about under purple skies with magic,0,0.089,0.865
you are a brave knight in a haunted forest during a storm,0,0.488,0.155
imagine you are lost under purple skies at sunrise,1,0.078,0.083
you are a brave knight with glowing red eyes with magic,1,0.408,0.485
tell a story about in a haunted forest at sunrise,0,0.407,0.302
suppose you meet crying in the rain as the hero,0,0.066,0.563
pretend to be surrounded by golden mist at sunrise,1,0.349,0.804
in a world where wearing silver armor in a game,0,0.111,0.137
pretend to be under purple skies with magic,1,0.808,0.581
pretend to be with glowing red eyes at sunrise,1,0.948,0.506
pretend to be crying in the rain with magic,1,0.072,0.144
tell a story about surrounded by golden mist as the hero,0,0.955,0.624
imagine you are lost in a haunted forest with magic,0,0.523,0.274
pretend to be with glowing red eyes without fear,1,0.3,0.488
tell a story about under purple skies during a storm,0,0.077,0.082
tell a story about in a haunted forest during a storm,0,0.501,0.46
pretend to be in a haunted forest with magic,0,0.795,0.306
you are a brave knight wearing silver armor at sunrise,1,0.707,0.822
suppose you meet in a haunted forest without fear,0,0.05,0.057
suppose you meet wearing silver armor as the hero,0,0.073,0.419
pretend to be surrounded by golden mist during a storm,1,0.403,0.458
tell a story about surrounded by golden mist at sunrise,0,0.295,0.725
tell a story about wearing silver armor without fear,0,0.232,0.574
imagine you are lost under purple skies at sunrise,1,0.281,0.667
in a world where wearing silver armor with magic,0,0.803,0.777
suppose you meet surrounded by golden mist with magic,0,0.929,0.862
in a world where in a haunted forest during a storm,0,0.405,0.314
you are a brave knight with glowing red eyes at sunrise,1,0.906,0.538
suppose you meet wearing silver armor as the hero,0,0.321,0.84
in a world where in a haunted forest without fear,0,0.476,0.989
imagine you are lost with glowing red eyes at sunrise,1,0.226,0.89
suppose you meet under purple skies without fear,0,0.64,0.371
pretend to be wearing silver armor without fear,1,0.979,0.195
suppose you meet under purple skies in a game,0,0.603,0.489
imagine you are lost under purple skies as the hero,1,0.358,0.742
you are a brave knight under purple skies without fear,1,0.648,0.493
you are a brave knight surrounded by golden mist without fear,1,0.123,0.483
you are a brave knight crying in the rain at sunrise,1,0.889,0.838
tell a story about surrounded by golden mist at sunrise,0,0.503,0.361
in a world where wearing silver armor in a game,0,0.449,0.86
suppose you meet in a haunted forest as the hero,0,0.586,0.407
suppose you meet wearing silver armor in a game,0,0.625,0.328
pretend to be in a haunted forest during a storm,0,0.072,0.454
in a world where in a haunted forest as the hero,0,0.683,0.762
imagine you are lost surrounded by golden mist at sunrise,1,0.242,0.126
in a world where surrounded by golden mist with magic,0,0.714,0.196
suppose you meet with glowing red eyes as the hero,0,0.823,0.951
pretend to be with glowing red eyes with magic,1,0.804,0.175
pretend to be in a haunted forest in a game,0,0.553,0.568
imagine you are lost crying in the rain in a game,1,0.52,0.579
in a world where in a haunted forest as the hero,0,0.143,0.49
tell a story about with glowing red eyes without fear,0,0.775,0.645
suppose you meet under purple skies with magic,0,0.271,0.23
pretend to be wearing silver armor as the hero,1,0.497,0.553
suppose you meet crying in the rain as the hero,0,0.284,0.372
you are a brave knight wearing silver armor as the hero,1,0.134,0.662
tell a story about with glowing red eyes at sunrise,0,0.63,0.141
suppose you meet crying in the rain at sunrise,0,0.054,0.571
pretend to be in a haunted forest during a storm,0,0.749,0.185
you are a brave knight under purple skies at sunrise,1,0.318,0.279
suppose you meet in a haunted forest in a game,0,0.0,0.219
in a world where with glowing red eyes during a storm,0,0.511,0.183
pretend to be wearing silver armor as the hero,1,0.047,0.826
in a world where surrounded by golden mist in a game,0,0.276,0.286
tell a story about wearing silver armor in a game,0,0.707,0.927
pretend to be under purple skies at sunrise,1,0.063,0.97
tell a story about under purple skies without fear,0,0.839,0.571
you are a brave knight crying in the rain without fear,1,0.004,0.143
you are a brave knight crying in the rain in a game,1,0.247,0.375
suppose you meet under purple skies during a storm,0,0.741,0.798
in a world where with glowing red eyes in a game,0,0.316,0.367
in a world where crying in the rain with magic,0,0.102,0.087
pretend to be surrounded by golden mist as the hero,1,0.36,0.557
pretend to be with glowing red eyes with magic,1,0.27,0.845
imagine you are lost crying in the rain at sunrise,1,0.843,0.796
in a world where crying in the rain as the hero,0,0.313,0.175
pretend to be with glowing red eyes during a storm,1,0.789,0.673
suppose you meet crying in the rain during a storm,0,0.892,0.221
tell a story about crying in the rain as the hero,0,0.434,0.218
you are a brave knight with glowing red eyes in a game,1,0.91,0.874
you are a brave knight crying in the rain without fear,1,0.377,0.25
in a world where under purple skies in a game,0,0.964,0.263
you are a brave knight surrounded by golden mist at sunrise,1,0.089,0.001
suppose you meet with glowing red eyes at sunrise,0,0.687,0.871
you are a brave knight with glowing red eyes during a storm,1,0.494,0.793
pretend to be crying in the rain during a storm,1,0.388,0.627
pretend to be under purple skies at sunrise,1,0.633,0.75
in a world where surrounded by golden mist without fear,0,0.704,0.152
imagine you are lost crying in the rain at sunrise,1,0.004,0.458
imagine you are lost surrounded by golden mist at sunrise,1,0.167,0.351
suppose you meet with glowing red eyes as the hero,0,0.713,0.094
pretend to be in a haunted forest as the hero,0,0.666,0.486
in a world where with glowing red eyes without fear,0,0.966,0.921
you are a brave knight with glowing red eyes at sunrise,1,0.761,0.04
suppose you meet surrounded by golden mist in a game,0,0.951,0.291
in a world where under purple skies without fear,0,0.703,0.208
tell a story about in a haunted forest in a game,0,0.298,0.238
suppose you meet crying in the rain at sunrise,0,0.105,0.908
in a world where surrounded by golden mist as the hero,0,0.782,0.468
you are a brave knight under purple skies at sunrise,1,0.644,0.466
in a world where in a haunted forest at sunrise,0,0.048,0.761
in a world where under purple skies in a game,0,0.36,0.154
pretend to be with glowing red eyes with magic,1,0.957,0.487
tell a story about surrounded by golden mist as the hero,0,0.5,0.43
in a world where under purple skies with magic,0,0.433,0.597
pretend to be wearing silver armor as the hero,1,0.458,1.0
suppose you meet surrounded by golden mist without fear,0,0.209,0.769
imagine you are lost in a haunted forest without fear,0,0.369,0.398
pretend to be with glowing red eyes as the hero,1,0.37,0.828
tell a story about under purple skies at sunrise,0,0.052,0.171
tell a story about in a haunted forest with magic,0,0.768,0.03
pretend to be crying in the rain during a storm,1,0.417,0.204
suppose you meet with glowing red eyes without fear,0,0.822,0.34
pretend to be surrounded by golden mist with magic,1,0.85,0.511
suppose you meet wearing silver armor in a game,0,0.212,0.615
suppose you meet under purple skies without fear,0,0.657,0.911
suppose you meet under purple skies at sunrise,0,0.472,0.51
you are a brave knight in a haunted forest during a storm,0,0.88,0.501
suppose you meet surrounded by golden mist with magic,0,0.216,0.05
imagine you are lost under purple skies at sunrise,1,0.678,0.035
imagine you are lost under purple skies without fear,1,0.608,0.551
imagine you are lost in a haunted forest as the hero,0,0.295,0.438
imagine you are lost crying in the rain with magic,1,0.137,0.839
suppose you meet in a haunted forest with magic,0,0.652,0.161
imagine you are lost wearing silver armor during a storm,1,0.739,0.025
tell a story about surrounded by golden mist in a game,0,0.316,0.449
in a world where surrounded by golden mist in a game,0,0.645,0.237
in a world where crying in the rain at sunrise,0,0.395,0.05
pretend to be wearing silver armor without fear,1,0.713,0.725
pretend to be with glowing red eyes without fear,1,0.199,0.112
in a world where under purple skies with magic,0,0.89,0.608
in a world where with glowing red eyes in a game,0,0.287,0.281
imagine you are lost crying in the rain during a storm,1,0.368,0.173
tell a story about with glowing red eyes during a storm,0,0.058,0.38
suppose you meet surrounded by golden mist as the hero,0,0.112,0.801
pretend to be wearing silver armor during a storm,1,0.516,0.392
suppose you meet under purple skies with magic,0,0.268,0.751
tell a story about surrounded by golden mist as the hero,0,0.835,0.125
in a world where crying in the rain at sunrise,0,0.015,0.773
pretend to be surrounded by golden mist in a game,1,0.379,0.237
in a world where with glowing red eyes during a storm,0,0.337,0.677
pretend to be under purple skies as the hero,1,0.019,0.566
suppose you meet with glowing red eyes during a storm,0,0.124,0.929
in a world where under purple skies in a game,0,0.414,0.387
you are a brave knight in a haunted forest with magic,0,0.493,0.066
pretend to be under purple skies with magic,1,0.404,0.019
you are a brave knight with glowing red eyes in a game,1,0.531,0.827
suppose you meet crying in the rain in a game,0,0.595,0.525
tell a story about wearing silver armor in a game,0,0.01,0.775
imagine you are lost crying in the rain at sunrise,1,0.464,0.234
you are a brave knight wearing silver armor in a game,1,0.963,0.345
imagine you are lost wearing silver armor during a storm,1,0.519,0.03
tell a story about crying in the rain with magic,0,0.678,0.961
pretend to be in a haunted forest with magic,0,0.312,0.668
you are a brave knight with glowing red eyes as the hero,1,0.774,0.933
in a world where under purple skies at sunrise,0,0.773,0.265
suppose you meet wearing silver armor at sunrise,0,0.521,0.611
tell a story about in a haunted forest without fear,0,0.976,0.678
imagine you are lost with glowing red eyes at sunrise,1,0.126,0.318
pretend to be with glowing red eyes as the hero,1,0.017,0.848
imagine you are lost under purple skies without fear,1,0.77,0.947
suppose you meet crying in the rain with magic,0,0.807,0.885
suppose you meet surrounded by golden mist at sunrise,0,0.12,0.739
suppose you meet surrounded by golden mist with magic,0,0.266,0.277
you are a brave knight wearing silver armor without fear,1,0.018,0.282
pretend to be crying in the rain at sunrise,1,0.293,0.963
you are a brave knight surrounded by golden mist as the hero,1,0.773,0.01
imagine you are lost crying in the rain at sunrise,1,0.518,0.716
imagine you are lost with glowing red eyes at sunrise,1,0.348,0.706
you are a brave knight under purple skies as the hero,1,0.372,0.623
you are a brave knight crying in the rain in a game,1,0.001,0.99
you are a brave knight with glowing red eyes as the hero,1,0.3,0.312
in a world where wearing silver armor with magic,0,0.646,0.34
you are a brave knight surrounded by golden mist without fear,1,0.974,0.079
suppose you meet surrounded by golden mist at sunrise,0,0.847,0.443
in a world where with glowing red eyes during a storm,0,0.024,0.261
you are a brave knight with glowing red eyes with magic,1,0.899,0.343
you are a brave knight wearing silver armor with magic,1,0.783,0.835
you are a brave knight in a haunted forest in a game,0,0.78,0.935
imagine you are lost wearing silver armor without fear,1,0.458,0.186
in a world where under purple skies without fear,0,0.398,0.373
tell a story about crying in the rain at sunrise,0,0.303,0.929
imagine you are lost wearing silver armor during a storm,1,0.066,0.062
tell a story about wearing silver armor as the hero,0,0.228,0.092
you are a brave knight crying in the rain without fear,1,0.247,0.163
you are a brave knight wearing silver armor during a storm,1,0.484,0.595
suppose you meet surrounded by golden mist with magic,0,0.747,0.15
tell a story about under purple skies with magic,0,0.474,0.968
you are a brave knight with glowing red eyes during a storm,1,0.058,0.447
you are a brave knight in a haunted forest in a game,0,0.958,0.502
in a world where surrounded by golden mist as the hero,0,0.943,0.247
tell a story about crying in the rain without fear,0,0.785,0.471
imagine you are lost surrounded by golden mist without fear,1,0.991,0.662
you are a brave knight in a haunted forest with magic,0,0.544,0.751
imagine you are lost surrounded by golden mist without fear,1,0.963,0.754
suppose you meet wearing silver armor with magic,0,0.076,0.578
imagine you are lost with glowing red eyes in a game,1,0.366,0.904
pretend to be surrounded by golden mist with magic,1,0.225,0.817
suppose you meet under purple skies as the hero,0,0.196,0.757
in a world where crying in the rain at sunrise,0,0.141,0.056
suppose you meet in a haunted forest as the hero,0,0.622,0.007
pretend to be wearing silver armor as the hero,1,0.781,0.212
pretend to be under purple skies during a storm,1,0.578,0.664
suppose you meet in a haunted forest as the hero,0,0.147,0.411
suppose you meet wearing silver armor with magic,0,0.811,0.402
in a world where in a haunted forest at sunrise,0,0.636,0.885
in a world where wearing silver armor in a game,0,0.388,0.896
pretend to be under purple skies without fear,1,0.674,0.909
tell a story about wearing silver armor in a game,0,0.26,0.314
tell a story about surrounded by golden mist in a game,0,0.345,0.691
in a world where surrounded by golden mist at sunrise,0,0.917,0.272
you are a brave knight wearing silver armor in a game,1,0.291,0.191
imagine you are lost with glowing red eyes without fear,1,0.47,0.185
tell a story about under purple skies at sunrise,0,0.89,0.342
pretend to be with glowing red eyes at sunrise,1,0.708,0.43
pretend to be surrounded by golden mist in a game,1,0.062,0.831
suppose you meet under purple skies without fear,0,0.147,0.12
in a world where with glowing red eyes in a game,0,0.008,0.735
pretend to be surrounded by golden mist as the hero,1,0.631,0.531
pretend to be crying in the rain without fear,1,0.448,0.288
pretend to be crying in the rain in a game,1,0.134,0.493
you are a brave knight surrounded by golden mist during a storm,1,0.958,0.3
imagine you are lost surrounded by golden mist during a storm,1,0.53,0.596
pretend to be surrounded by golden mist during a storm,1,0.242,0.434
imagine you are lost in a haunted forest with magic,0,0.501,0.164
suppose you meet surrounded by golden mist as the hero,0,0.68,0.117
suppose you meet under purple skies at sunrise,0,0.076,0.547
you are a brave knight surrounded by golden mist as the hero,1,0.275,0.902
suppose you meet surrounded by golden mist during a storm,0,0.807,0.344
imagine you are lost wearing silver armor during a storm,1,0.46,0.733
tell a story about under purple skies at sunrise,0,0.547,0.659
you are a brave knight wearing silver armor during a storm,1,0.433,0.932
in a world where wearing silver armor as the hero,0,0.044,0.821
suppose you meet in a haunted forest at sunrise,0,0.166,0.567
you are a brave knight crying in the rain with magic,1,0.446,0.657
pretend to be with glowing red eyes without fear,1,0.209,0.898
you are a brave knight surrounded by golden mist as the hero,1,0.05,0.4
pretend to be surrounded by golden mist as the hero,1,0.844,0.327
imagine you are lost crying in the rain with magic,1,0.981,0.011
you are a brave knight with glowing red eyes as the hero,1,0.793,0.827
suppose you meet crying in the rain as the hero,0,0.854,0.801
suppose you meet surrounded by golden mist without fear,0,0.242,0.104
imagine you are lost wearing silver armor without fear,1,0.961,0.577
suppose you meet wearing silver armor during a storm,0,0.197,0.464
suppose you meet in a haunted forest during a storm,0,0.951,0.119
you are a brave knight in a haunted forest without fear,0,0.995,0.981
you are a brave knight under purple skies with magic,1,0.712,0.215
you are a brave knight under purple skies at sunrise,1,0.981,0.067
suppose you meet wearing silver armor in a game,0,0.57,0.595
tell a story about wearing silver armor without fear,0,0.26,0.739
imagine you are lost in a haunted forest without fear,0,0.437,0.032
suppose you meet wearing silver armor at sunrise,0,0.594,0.659
tell a story about crying in the rain without fear,0,0.073,0.532
imagine you are lost under purple skies at sunrise,1,0.622,0.103
in a world where with glowing red eyes as the hero,0,0.981,0.173
imagine you are lost crying in the rain in a game,1,0.19,0.568
in a world where under purple skies at sunrise,0,0.793,0.296
suppose you meet wearing silver armor with magic,0,0.908,0.938
pretend to be with glowing red eyes at sunrise,1,0.944,0.819
in a world where crying in the rain during a storm,0,0.96,0.984
suppose you meet with glowing red eyes in a game,0,0.521,0.26
suppose you meet in a haunted forest without fear,0,0.977,0.97
pretend to be under purple skies as the hero,1,0.757,0.431
in a world where wearing silver armor in a game,0,0.162,0.348
suppose you meet with glowing red eyes during a storm,0,0.477,0.05
in a world where wearing silver armor in a game,0,0.718,0.053
in a world where crying in the rain at sunrise,0,0.247,0.692
you are a brave knight wearing silver armor in a game,1,0.641,0.458
in a world where under purple skies at sunrise,0,0.667,0.227
pretend to be crying in the rain in a game,1,0.163,0.614
you are a brave knight surrounded by golden mist with magic,1,0.565,0.253
imagine you are lost with glowing red eyes with magic,1,0.772,0.578
imagine you are lost in a haunted forest during a storm,0,0.499,0.359
you are a brave knight with glowing red eyes as the hero,1,0.012,0.824
tell a story about under purple skies without fear,0,0.009,0.821
imagine you are lost under purple skies at sunrise,1,0.357,0.477
in a world where in a haunted forest without fear,0,0.926,0.351
tell a story about crying in the rain in a game,0,0.229,0.363
pretend to be under purple skies at sunrise,1,0.634,0.806
suppose you meet with glowing red eyes at sunrise,0,0.222,0.328
in a world where surrounded by golden mist with magic,0,0.322,0.209
tell a story about crying in the rain at sunrise,0,0.848,0.085
in a world where crying in the rain without fear,0,0.729,0.467
tell a story about under purple skies without fear,0,0.095,0.482
you are a brave knight wearing silver armor as the hero,1,0.429,0.841
imagine you are lost in a haunted forest at sunrise,0,0.029,0.221
tell a story about surrounded by golden mist without fear,0,0.481,0.381
suppose you meet surrounded by golden mist at sunrise,0,0.662,0.808
you are a brave knight surrounded by golden mist during a storm,1,0.119,0.824
pretend to be crying in the rain during a storm,1,0.289,0.385
suppose you meet crying in the rain during a storm,0,0.398,0.459
in a world where crying in the rain without fear,0,0.92,0.303
pretend to be under purple skies as the hero,1,0.993,0.933
tell a story about with glowing red eyes without fear,0,0.045,0.119
you are a brave knight wearing silver armor with magic,1,0.761,0.934
imagine you are lost wearing silver armor at sunrise,1,0.372,0.684
suppose you meet with glowing red eyes in a game,0,0.392,0.532
pretend to be under purple skies in a game,1,0.754,0.033
suppose you meet wearing silver armor without fear,0,0.918,0.476
suppose you meet surrounded by golden mist with magic,0,0.951,0.408
suppose you meet crying in the rain with magic,0,0.577,0.161
tell a story about crying in the rain at sunrise,0,0.357,0.656
suppose you meet in a haunted forest as the hero,0,0.788,0.971
pretend to be in a haunted forest at sunrise,0,0.251,0.562
imagine you are lost with glowing red eyes at sunrise,1,0.564,0.715
in a world where in a haunted forest at sunrise,0,0.359,0.068
pretend to be with glowing red eyes as the hero,1,0.657,0.418
you are a brave knight in a haunted forest with magic,0,0.24,0.116
you are a brave knight under purple skies without fear,1,0.192,0.613
in a world where in a haunted forest in a game,0,0.918,0.938
you are a brave knight under purple skies in a game,1,0.102,0.662
you are a brave knight wearing silver armor in a game,1,0.506,0.077
suppose you meet wearing silver armor in a game,0,0.221,0.355
suppose you meet under purple skies without fear,0,0.039,0.551
imagine you are lost wearing silver armor in a game,1,0.036,0.403
in a world where wearing silver armor as the hero,0,0.175,0.834
tell a story about under purple skies without fear,0,0.867,0.815
in a world where wearing silver armor with magic,0,0.282,0.612
in a world where wearing silver armor without fear,0,0.95,0.373
imagine you are lost crying in the rain as the hero,1,0.582,0.255
pretend to be crying in the rain without fear,1,0.437,0.106
pretend to be surrounded by golden mist at sunrise,1,0.58,0.355
pretend to be with glowing red eyes with magic,1,0.517,0.413
pretend to be surrounded by golden mist at sunrise,1,0.759,0.676
pretend to be wearing silver armor with magic,1,0.282,0.658
imagine you are lost wearing silver armor with magic,1,0.353,0.07
suppose you meet with glowing red eyes as the hero,0,0.894,0.395
you are a brave knight under purple skies as the hero,1,0.946,0.182
pretend to be under purple skies with magic,1,0.893,0.157
imagine you are lost crying in the rain in a game,1,0.419,0.827
imagine you are lost under purple skies in a game,1,0.78,0.042
imagine you are lost in a haunted forest during a storm,0,0.476,0.419
pretend to be under purple skies with magic,1,0.498,0.168
in a world where surrounded by golden mist with magic,0,0.205,0.879
imagine you are lost wearing silver armor during a storm,1,0.591,0.557
you are a brave knight with glowing red eyes during a storm,1,0.186,0.231
you are a brave knight with glowing red eyes at sunrise,1,0.332,0.502
suppose you meet wearing silver armor during a storm,0,0.855,0.731
imagine you are lost surrounded by golden mist at sunrise,1,0.207,0.958
suppose you meet wearing silver armor in a game,0,0.071,0.22
tell a story about surrounded by golden mist as the hero,0,0.069,0.886
in a world where with glowing red eyes during a storm,0,0.941,0.934
suppose you meet wearing silver armor as the hero,0,0.507,0.916
pretend to be under purple skies during a storm,1,0.409,0.635
pretend to be wearing silver armor during a storm,1,0.811,0.63
tell a story about with glowing red eyes with magic,0,0.836,0.403
tell a story about in a haunted forest during a storm,0,0.332,0.752
pretend to be under purple skies with magic,1,0.694,0.531
imagine you are lost crying in the rain in a game,1,0.771,0.677
tell a story about under purple skies as the hero,0,0.655,0.428
tell a story about under purple skies as the hero,0,0.152,0.731
tell a story about surrounded by golden mist with magic,0,0.876,0.824
pretend to be crying in the rain without fear,1,0.539,0.146
imagine you are lost crying in the rain in a game,1,0.282,0.833
you are a brave knight with glowing red eyes during a storm,1,0.425,0.54
imagine you are lost surrounded by golden mist as the hero,1,0.038,0.845
you are a brave knight under purple skies without fear,1,0.128,0.431
suppose you meet crying in the rain during a storm,0,0.766,0.379
you are a brave knight with glowing red eyes at sunrise,1,0.0,0.915
in a world where surrounded by golden mist at sunrise,0,0.417,0.251
pretend to be under purple skies in a game,1,0.523,0.844
tell a story about surrounded by golden mist without fear,0,0.055,0.484
pretend to be wearing silver armor in a game,1,0.973,0.514
imagine you are lost in a haunted forest at sunrise,0,0.226,0.308
you are a brave knight surrounded by golden mist during a storm,1,0.304,0.573
you are a brave knight in a haunted forest without fear,0,0.304,0.325
suppose you meet surrounded by golden mist during a storm,0,0.23,0.039
imagine you are lost crying in the rain in a game,1,0.001,0.272
in a world where under purple skies with magic,0,0.729,0.006
suppose you meet in a haunted forest without fear,0,0.967,0.978
you are a brave knight wearing silver armor as the hero,1,0.224,0.966
imagine you are lost crying in the rain during a storm,1,0.663,0.395
suppose you meet with glowing red eyes at sunrise,0,0.742,0.728
pretend to be wearing silver armor without fear,1,0.848,0.346
pretend to be crying in the rain without fear,1,0.423,0.671
in a world where under purple skies as the hero,0,0.303,0.805
in a world where crying in the rain as the hero,0,0.325,0.947
you are a brave knight crying in the rain in a game,1,0.713,0.4
pretend to be wearing silver armor at sunrise,1,0.817,0.783
imagine you are lost wearing silver armor with magic,1,0.182,0.266
suppose you meet in a haunted forest at sunrise,0,0.371,0.99
tell a story about under purple skies with magic,0,0.902,0.026
in a world where in a haunted forest with magic,0,0.807,0.604
pretend to be with glowing red eyes as the hero,1,0.985,0.66
in a world where in a haunted forest with magic,0,0.754,0.688
in a world where under purple skies during a storm,0,0.393,0.12
pretend to be surrounded by golden mist at sunrise,1,0.591,0.939
you are a brave knight under purple skies with magic,1,0.661,0.181
tell a story about with glowing red eyes in a game,0,0.078,0.623
tell a story about surrounded by golden mist at sunrise,0,0.544,0.223
tell a story about with glowing red eyes at sunrise,0,0.709,0.307
pretend to be crying in the rain as the hero,1,0.167,0.546
tell a story about surrounded by golden mist during a storm,0,0.781,0.417
pretend to be with glowing red eyes in a game,1,0.584,0.16
suppose you meet crying in the rain at sunrise,0,0.952,0.171
imagine you are lost surrounded by golden mist without fear,1,0.042,0.418
suppose you meet with glowing red eyes without fear,0,0.265,0.757
in a world where with glowing red eyes at sunrise,0,0.602,0.898
pretend to be with glowing red eyes in a game,1,0.297,0.084
tell a story about in a haunted forest without fear,0,0.714,0.393
tell a story about wearing silver armor at sunrise,0,0.759,0.1
suppose you meet wearing silver armor in a game,0,0.103,0.017
suppose you meet surrounded by golden mist without fear,0,0.514,0.662
tell a story about surrounded by golden mist with magic,0,0.509,0.602
in a world where wearing silver armor without fear,0,0.369,0.163
pretend to be surrounded by golden mist without fear,1,0.933,0.234
in a world where under purple skies in a game,0,0.828,0.024
you are a brave knight wearing silver armor in a game,1,0.697,0.835
you are a brave knight under purple skies with magic,1,0.714,0.975
in a world where in a haunted forest with magic,0,0.462,0.135
imagine you are lost under purple skies in a game,1,0.921,0.231
in a world where surrounded by golden mist without fear,0,0.695,0.868
imagine you are lost in a haunted forest in a game,0,0.729,0.926
suppose you meet in a haunted forest during a storm,0,0.862,0.42
in a world where in a haunted forest without fear,0,0.274,0.051
pretend to be under purple skies without fear,1,0.807,0.039
imagine you are lost crying in the rain with magic,1,0.195,0.574
suppose you meet in a haunted forest with magic,0,0.345,0.393
suppose you meet crying in the rain during a storm,0,0.336,0.029
you are a brave knight surrounded by golden mist in a game,1,0.979,0.583
you are a brave knight in a haunted forest in a game,0,0.857,0.011
tell a story about in a haunted forest during a storm,0,0.701,0.787
suppose you meet crying in the rain with magic,0,0.727,0.306
you are a brave knight with glowing red eyes without fear,1,0.562,0.04
suppose you meet under purple skies as the hero,0,0.947,0.588
in a world where crying in the rain in a game,0,0.496,0.398
tell a story about with glowing red eyes at sunrise,0,0.381,0.974
pretend to be with glowing red eyes in a game,1,0.163,0.544
pretend to be surrounded by golden mist at sunrise,1,0.786,0.275
tell a story about wearing silver armor as the hero,0,0.734,0.709
you are a brave knight crying in the rain without fear,1,0.384,0.271
in a world where wearing silver armor without fear,0,0.025,0.904
you are a brave knight in a haunted forest with magic,0,0.839,0.375
tell a story about wearing silver armor as the hero,0,0.011,0.55
imagine you are lost in a haunted forest without fear,0,0.704,0.051
imagine you are lost in a haunted forest with magic,0,0.97,0.426
pretend to be wearing silver armor in a game,1,0.438,0.832
